A Sharp (.NET)		
A-0 System		
SAS (software)		
SASL (programming language)	"[ISWIM]"	"[KRC, Miranda, Haskell]"
Sather	"[Eiffel, CLU, Common Lisp, Scheme]"	"[Cool]"
Sawzall (programming language)		
Scala (programming language)	"[Common Lisp, Eiffel, Erlang, F#, Haskell, Java, OCaml, Oz, Pizza, Scheme, Smalltalk, Standard ML]"	"[Ceylon, Chisel, Fantom, F#, C#, Kotlin, Lasso, Red, Flix]"
Scheme (programming language)	"[ALGOL, Lisp, MDL]"	"[Clojure, Common Lisp, Dylan, EuLisp, Haskell, Hop, JavaScript, Julia, Lua, MultiLisp, Python, R, Racket, Ruby, Rust, S, Scala, T]"
Scilab		
Scratch (programming language)	"[Logo, Smalltalk, HyperCard, StarLogo, AgentSheets, AgentCubes, Etoys]"	"[Catrobat,
ScratchJr, Snap!, mBlock, Turtlestitch]"
Script.NET	"[JavaScript]"	
sed	"[ed]"	"[Perl, AWK]"
Seed7	"[Pascal, Modula-2, Ada, ALGOL 68, C, C++, Java]"	
Self (programming language)	"[Smalltalk, APL]"	"[NewtonScript, JavaScript, Io, Agora, Squeak, Lua, Factor, REBOL]"
SenseTalk	"[xTalk, HyperTalk]"	
SequenceL		
Ethereum		
SETL	"[ALGOL 60]"	"[SETL2, ISETL, SETLX, ABC]"
Short Code (computer language)	"[ENIAC Short Code]"	"[Intermediate programming language, OMNIBAC Symbolic Assembler]"
Superbase (database)		
SIGNAL (programming language)		
SiMPLE		
SIMSCRIPT		
Simula	"[ALGOL 60, Simscript]"	"[All subsequent object-oriented programming languages]"
Simulink		
SISAL	"[VAL, Pascal, C, Fortran]"	"[Haskell,[citation needed] SAC]"
Cadence SKILL	"[Scheme, Common Lisp, CLOS]"	
SLIP (programming language)		
SMALL	"[ALGOL]"	
Smalltalk	"[Lisp, Simula, Euler, IMP, Planner, Logo, Sketchpad, ARPAnet, Burroughs B5000, Influenced, AppleScript, Common Lisp Object System, Dart, Dylan, Erlang, Etoys, Go, Groovy, Io, Ioke, Java, Lasso, Logtalk, Newspeak, NewtonScript, Object REXX, Objective-C, PHP 5, Python, Raku, Ruby, Scala, Scratch, Self, Swift]"	"[AppleScript, Common Lisp Object System, Dart, Dylan, Erlang, Etoys, Go, Groovy, Io, Ioke, Java, Lasso, Logtalk, Newspeak, NewtonScript, Object REXX, Objective-C, PHP 5, Python, Raku, Ruby, Scala, Scratch, Self, Swift]"
Standard ML	"[ML, Hope, Pascal, Influenced, Elm, F#, F*, Haskell, OCaml, Python, Rust, Scala]"	"[Elm, F#, F*, Haskell, OCaml, Python, Rust, Scala]"
Strongtalk	"[Smalltalk, Self, Influenced, Java HotSpot]"	"[Java HotSpot]"
Snap! (programming language)	"[Scratch, Scheme, Logo, Smalltalk, Influenced, BeetleBlocks, NetsBlox, Dragme IDE, Turtlestitch]"	"[BeetleBlocks, NetsBlox, Dragme IDE, Turtlestitch]"
SNOBOL	"[COMIT, Influenced, AWK, SL5, Icon, bs, Lua]"	"[AWK, SL5, Icon, bs, Lua]"
SPITBOL		
Snowball (programming language)		
Secure Operations Language		
Solidity	"[JavaScript, C++, Python]"	
SOPHAEROS		
Source (programming language)	"[JavaScript, Scheme]"	
SPARK (programming language)	"[Ada, Eiffel]"	
Speakeasy (computational environment)		
Speedcoding	"[Assembly language, machine code, Influenced, Fortran, ALGOL 58, BASIC, C, PL/I, PACT I, MUMPS, Ratfor]"	"[Fortran, ALGOL 58, BASIC, C, PL/I, PACT I, MUMPS, Ratfor]"
Parallax Propeller		
SP/k	"[PL/I, Influenced, Turing]"	"[Turing]"
IBM 1401 Symbolic Programming System		
SQL	"[Datalog, Influenced, CQL, LINQ, SPARQL, SOQL, PowerShell, JPQL, jOOQ, N1QL]"	"[CQL, LINQ, SPARQL, SOQL, PowerShell, JPQL, jOOQ, N1QL]"
SQR		
Squeak	"[Smalltalk, Lisp, Logo; Sketchpad, Simula; Self, Influenced, Etoys, Tweak, Croquet, Scratch]"	"[Etoys, Tweak, Croquet, Scratch]"
Squirrel (programming language)	"[C++, JavaScript, Lua, Python, Influenced, MiniD]"	"[MiniD]"
SR (programming language)		
S/SL programming language		
StarLogo	"[Logo, Influenced, NetLogo, Etoys]"	"[NetLogo, Etoys]"
Strand (programming language)		
Stata		
Stateflow		
Subtext (programming language)		
Superbase (database)		
SuperCollider		
Superplan	"[Plankalkül]"	"[ALGOL 58]"
SuperTalk		
Swift (programming language)	"[Objective-C, Rust, Haskell, Ruby, Python, C#, CLU, D]"	"[Rust]"
Swift (parallel scripting language)	"[C syntax, functional programming]"	"[Cuneiform]"
SYMPL		
T (programming language)	"[Scheme]"	"[EuLisp, Joule]"
TACL		
TACPOL (programming language)		
TADS		
Transaction Application Language		
Tcl	"[AWK, Lisp]"	"[PHP, PowerShell, Tea]"
Tea (programming language)	"[Tcl, Java, Scheme]"	
TECO (text editor)		
TELCOMP	"[JOSS]"	"[MUMPS]"
TeX		
Text Executive Programming Language		
Tensilica Instruction Extension		
TMG (language)		"[TROL (by Donald Knuth)]"
Tom (pattern matching language)		
Toi (programming language)		
Clarion (programming language)		
DEC Text Processing Utility		
TRAC (programming language)	"[Macro SAP]"	"[SAM76, ML/I]"
TTM (programming language)	"[GAP, GPM, TRAC]"	
Transact-SQL		
LiveCode		
TTCN		
Turing (programming language)	"[Euclid, Pascal, SP/k]"	
TUTOR		"[TenCORE, USE (Regency Systems)]"
TXL (programming language)		
TypeScript	"[C#, Java, JavaScript, ActionScript]"	"[AtScript, AssemblyScript]"
Tynker		
Ubercode		
UCSD Pascal		
Umple	"[Java, C++, UML, Ruby, PHP]"	
Unicon (programming language)	"[Icon]"	
Uniface (programming language)		
UNITY (programming language)		
Unreal Engine		
Vala (programming language)	"[C, C++, C#, D, Java, Boo]"	
Vim (text editor)		
Ethereum		
DataFlex		
Visual DialogScript		
Visual FoxPro		
Visual J++		
AutoLISP	"[Lisp, XLISP]"	
Visual Objects		
Visual Prolog		
WATFIV		
WebAssembly	"[asm.jsPNaCl]"	
WebDNA		
Whiley (programming language)	"[Java, C, Python, Rust]"	
Winbatch
Wolfram Language	"[APL, C, C++, FORTRAN, Lisp, Pascal, Prolog, Schoonschip, Simula, Smalltalk, SMP]"	"Jupyter, Clojure, Julia"
Wyvern (programming language)		
Microsoft Dynamics AX		
X10 (programming language)	"[C++, Java]"	
XBase++		
XBL		
XMOS		
XMOS		
xHarbour		
Christophe de Dinechin		
Xojo		
XOTcl	"[Tcl, OTcl]"	
XOD (programming language)		
XPL		
XPL0		
XQuery	"[XPath, SQL, XSLT]"	
XSB	"[Prolog, PSB-Prolog, SB-Prolog]"	
XSharp		
XSLT	"[DSSSL]"	
Xtend	"[Java, Scala, Groovy, Smalltalk, Xpand]"	
Yorick (programming language)		
Yahoo! Query Language		
Yoix	"[C, Java, PostScript]"	
Z notation		
Z shell		
Zebra Programming Language	"[ANSI BASIC]"	
Zeno (programming language)		
Lisp Machine Lisp	"[Lisp, Maclisp, Interlisp]"	"[Common Lisp]"
Zig (programming language)	"[C, C++, LLVM IR, Go, Rust, JavaScript[citation needed]]"	
Zonnon	"[Oberon, Pascal]"	
ZOPL		
ZPL (programming language)	"[C]"	"[Chapel]"
Z++		
