,Index,Language,Influenced By,Influenced,Year,Language
128,127,Curl ,"[HTML, JavaScript, Lisp]",,1998,Curl (programming language)
243,242,Harbour ,"[dBase, Clipper]",[xHarbour],1999,Harbour (programming language)
402,401,NetLogo,"[Logo, StarLogo]",,1999,NetLogo
61,60,BeanShell,"[Java, JavaScript, Perl]",,1999,BeanShell
212,211,GameMaker,,,1999,GameMaker
48,47,AutoIt,[BASIC],,1999,AutoIt
675,674,XOTcl,"[Tcl, OTcl]",,2000,XOTcl
73,72,C Sharp ,"[C++, Eiffel, F#, Haskell,  Scala, Icon, J#, J++, Java, ML, Modula-3, Object Pascal, VB]","[Chapel, Clojure, Crystal, D, J#, Dart, F#, Hack, Java, Kotlin, Nemerle, Oxygene, Rust, Swift, Vala, TypeScript]",2000,C Sharp (programming language)
456,455,Pascal Script,"[Pascal, Object Pascal]",,2000,Pascal Script
686,685,Yoix,"[C, Java, PostScript]",,2000,Yoix
416,415,Nullsoft Scriptable Install System,,,2000,Nullsoft Scriptable Install System
29,28,Alice ,"[ML, Oz]",,2000,Alice (programming language)
283,282,Join Java,[Java],,2000,Join Java
135,134,D ,"[C, C++, C#, Eiffel, Java, Python]","[Genie, MiniD, Qore, Swift, Vala, C++11, C++14, C++17, C++20, Go, C#]",2001,D (programming language)
337,336,LiveCode,,,2001,LiveCode
88,87,Ch ,,,2001,Ch (computer programming)
635,634,LiveCode,,,2001,LiveCode
226,225,Game Oriented Assembly Lisp,"[Lisp, Scheme]",,2001,Game Oriented Assembly Lisp
291,290,Jython,,,2001,Jython
497,496,Processing,,,2001,Processing
287,286,Joy ,"[Scheme, FP, Forth]","[Factor, Cat, V, Trith]",2001,Joy (programming language)
498,497,Processing,,,2001,Processing
603,602,StarLogo,"[Logo, Influenced, NetLogo, Etoys]","[NetLogo, Etoys]",2001,StarLogo
269,268,Visual J Sharp,[Java and Visual J++],,2002,Visual J Sharp
258,257,Io ,"[Smalltalk, NewtonScript, Self, Lua, Lisp, Python, Act1]","[Ioke, Potion]",2002,Io (programming language)
250,249,Hollywood ,,,2002,Hollywood (programming language)
188,187,FAUST ,,,2002,FAUST (programming language)
