,Language,Influenced By,Influenced,Year
180,rc,,,1989.0
181,FL,[FP],,1989.0
182,Coq,,,1989.0
183,SequenceL,,,1989.0
184,rc,,,1989.0
185,Bash,,,1989.0
194,Janus (concurrent constraint programming language),,,1990.0
195,J,[APL],[SuperCollider],1990.0
193,Sather,"[Eiffel, CLU, Common Lisp, Scheme]",[Cool],1990.0
192,Haskell,"[Clean, FP, Lisp, Miranda, Orwell, SASL, Scheme, SISAL, ML, Standard ML, Raku]","[Agda, Clean, Clojure, CoffeeScript, Curry, Elm, Epigram, Escher, Hack, Idris, LiveScript, Mercury, PureScript, Python, Raku, Rust, Scala, Swift, Standard ML, Aldor, C Sharp, Orc, F Sharp, Fortress, Pure, Futhark, Flix, Language Integrated Query]",1990.0
191,AMOS,,,1990.0
189,Rational Synergy,,,1990.0
188,Aldor,"[Pascal, Haskell]",,1990.0
187,Escher,,,1990.0
186,Cadence SKILL,"[Scheme, Common Lisp]",,1990.0
190,Z shell,,,1990.0
202,GNU E,[C++],,1991.0
206,Oriel,,,1991.0
204,KiXtart,,,1991.0
203,Oz,"[Erlang, Lisp, Prolog]","[Alice, Scala, Orc]",1991.0
201,Python,"[ABC, Ada, ALGOL 68, APL, C, C++, CLU, Dylan, Haskell, Icon, Lisp, Modula-3, Perl, Standard ML, Apache Groovy, Boo, Cobra, CoffeeScript, D, Genie, Go, JavaScript, Julia, Nim, Ring, Ruby, Swift, Smalltalk, Scheme, occam, Java]","[Apache Groovy, Boo, Cobra, CoffeeScript, D, Genie, Go, JavaScript, Julia, Nim, Ring, Ruby, Swift, Smalltalk, Standard ML, ECMAScript, Io, Squirrel, eC, Haxe, F Sharp, PowerShell, Ezhil, Cython, Whiley, Crystal, Q Sharp, Solidity]",1991.0
205,Constraint Handling Rules,[Prolog],,1991.0
199,Vim,,,1991.0
198,POV-Ray,,,1991.0
197,Ease,[occam],,1991.0
196,Darwin,[Maple],,1991.0
200,newLISP,"[C, Common Lisp, Perl, Scheme]",,1991.0
211,ProvideX,,,1992.0
207,Cecil,,,1992.0
208,Dylan,"[Scheme, Lisp, Smalltalk, Common Lisp]","[Lasso, Python, Smalltalk, NewtonScript, Ruby, Julia]",1992.0
209,Gödel,,,1992.0
210,SenseTalk,[HyperTalk],,1992.0
212,PowerBuilder,,,1992.0
213,Alef,[C],"[Limbo, Rust, Go]",1992.0
216,R,"[Lisp, S, Scheme, Common Lisp]","[Julia, PCASTL]",1993.0
225,GNU Guile,"[Lisp, Scheme]",,1993.0
217,Obliq,"[Modula-3, Self, Oberon]",,1993.0
224,Euphoria,[BASIC],,1993.0
223,K,"[A+, APL, Scheme]",[Q],1993.0
221,ZPL,[C],[Chapel],1993.0
222,Lua,"[C++, CLU, Modula, Scheme, SNOBOL, Lisp, AWK, Modula-2, Self]","[Io, JavaScript, Julia, Red, Ring, Ruby, Squirrel, C--, SNOBOL, Haxe]",1993.0
219,NESL,,,1993.0
218,GNU Octave,,,1993.0
214,AppleScript,"[HyperTalk, Smalltalk]",,1993.0
215,NewtonScript,"[Self, Dylan, Smalltalk]","[Io, Smalltalk]",1993.0
220,CFEngine,,,1993.0
228,Claire,"[Smalltalk, SETL, OPS5, Lisp, ML, C]",,1994.0
226,RAPID,[C],,1994.0
227,ORCA/Modula-2,,,1994.0
229,Cilk,[C],,1994.0
234,Limbo,"[C, Pascal, Alef]","[Go, Rust]",1995.0
235,Racket,"[Eiffel, Scheme]",[Clojure],1995.0
238,PHP,"[Perl, C, C++, Java, Tcl, JavaScript, Hack]","[Hack, Haxe, Umple]",1995.0
237,Lasso,"[Dylan, Smalltalk, Scala]",,1995.0
239,Ruby,"[Ada, C++, CLU, Dylan, Eiffel, Lisp, Lua, Perl, Python, Smalltalk, Scheme]","[Clojure, CoffeeScript, Crystal, D, Elixir, Julia, Mirah, Nu, Ring, Rust, Swift, Smalltalk, Python, Apache Groovy, Fantom, Umple, Dart, Raku]",1995.0
236,Mercury,"[Prolog, Hope, Haskell]",,1995.0
233,Adobe ColdFusion,,,1995.0
231,mIRC scripting language,,,1995.0
230,Java,"[CLU, Lisp, Smalltalk, C++, Eiffel, Mesa, Modula-3, Oberon, Objective-C, UCSD Pascal, Object Pascal, Pascal, MDL, C, Emerald, Ada, C Sharp]","[BeanShell, Chapel, Clojure, ECMAScript, Fantom, Hack, Haxe, Kotlin, PHP, Python, Scala, Seed7, Vala, JavaScript, Smalltalk, Ada, NetRexx, MIVA Script, Cool, E, Tea, ActionScript, C Sharp, Yoix, Join Java, D, NWScript, Apache Groovy, X10, OptimJ, Umple, Whiley, Dart, Xtend, Ceylon, TypeScript, Ballerina, Gosu, Mirah, Pizza]",1995.0
232,JavaScript,"[Java, Scheme, Self, AWK, HyperTalk, Lisp, C, Perl, Python, Lua, CoffeeScript]","[ActionScript, CoffeeScript, Dart, Haxe, Opa, TypeScript, Python, PHP, Curl, BeanShell, Squirrel, LiveScript, PureScript, Raku, Zig, Source, Bosque, Script.NET, Solidity]",1995.0
252,Autodesk 3ds Max,,,1996.0
255,Cool,"[Java, ML, Pascal, Sather]",,1996.0
246,Perl Data Language,"[APL, IDL, Perl]",,1996.0
245,Squeak,"[Smalltalk, Lisp, Etoys, Scratch, Self]","[Etoys, Scratch]",1996.0
244,Etoys,"[Logo, Smalltalk, StarLogo, Squeak]","[Scratch, Smalltalk, Squeak, StarLogo]",1996.0
243,Yorick,,,1996.0
242,Charm,"[RTL/2, C, Pascal]",,1996.0
241,Joule,,[E],1996.0
240,LilyPond,,,1996.0
256,SuperCollider,,,1996.0
253,DRAKON,,,1996.0
254,MIVA Script,"[C, Perl, Java, C++]",,1996.0
249,OCaml,"[C, Caml, Modula-3, Pascal, Standard ML, ML]","[Coq, Elm, F*, Haxe, Opa, Rust, Scala, Standard ML, F Sharp, Boomerang, Hack, Flix]",1996.0
250,JScript,,,1996.0
251,Netwide Assembler,,,1996.0
248,QuakeC,[C],,1996.0
247,NetRexx,"[PL/I, Java, Rexx, Object REXX]",,1996.0
257,Alma-0,"[Modula-2, Modula]",,1997.0
265,Component Pascal,"[Pascal, Oberon]",,1997.0
258,E,"[Joule, Java]",,1997.0
